"Queue","Count","Age"
trms_us_ari_concessionsabusecapdnrreferrals_wrk_amz,1720,64029
trms_us_ari_cap_high_risk_wrk_amz,1515,257842
trms_us_ari_acclinkageinvestigation_wrk_amz,936,87022
trms_us_ari_abdrop_ship_abuse_referrals_wrk_amz,887,464773
trms_us_ari_concessionsabuseflrrferrals_highrisk_intransit_wrk_amz,467,634504
trms_us_ari_pdaconcessionsabuse_wrk_amz,467,133380
trms_us_ari_email_ofm_wrk_amz,378,88506
trms_us_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,329,55358
trms_us_ari_concessionaccinvestigation_wrk_amz,236,67911
trms_us_ari_psi_transfer_acc_level_wrk_amz,234,202108
trms_us_ari_email_maa_emails_wrk_amz,147,88571
trms_us_ari_email_ari_ecresc_wrk_amz,141,228794
trms_us_ari_email_contra_ari_wrk_amz,128,81730
trms_us_ari_retrocharge_wrk_amz,116,143847
trms_us_ari_trustedsellerreferral_wrk_amz,107,172552
trms_us_ari_dnr_concessions_abuse_wrk_amz,100,33595
trms_us_ari_email_dnr_emails_wrk_amz,94,88567
trms_us_ari_email_ari_rcr_wrk_amz,76,78857
trms_us_ari_spi_threatabuse_wrk_amz,65,330676
trms_us_ari_email_mfn_emails_wrk_amz,40,82026
trms_us_ari_email_neat_wrk_amz,31,84950
trms_us_ari_email_arm_appeals_wrk_amz,29,41335
trms_us_ari_barsconcessionabuse_wrk_amz,22,215020
trms_us_ari_mdr_acc_investigation_high_risk_wrk_amz,20,323500
trms_us_ari_email_buyer_returns_wrk_amz,16,86461
trms_us_ari_ff_concessions_abuserefundapproval_wrk_amz,13,13496
trms_us_ari_email_rqla_wrk_amz,8,922414
trms_us_ari_email_mfn_retrocharge_wrk_amz,3,114527
trms_us_ari_email_ucc_appeals_wrk_amz,1,10222
trms_us_ari_in_transit_wrk_amz,1,2592
trms_us_ari_nsr_concessions_abuse_wrk_amz,1,6120
trms_us_email_ari_lastword_wrk_amz,1,40220
trms_ca_ari_concessions_abuse_cap_dnr_referrals_wrk_amz,280,63901
trms_ca_ari_email_ofm_wrk_amz,118,85883
trms_ca_ari_barsconcessionabuse_wrk_amz,60,215572
trms_ca_ari_psi_transfer_acc_level_wrk_amz,58,184475
trms_ca_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,58,54575
trms_ca_ari_cap_high_risk_wrk_amz,53,254788
trms_ca_ari_acclinkageinvestigation_wrk_amz,44,36045
trms_ca_ari_dnr_concessions_abuse_wrk_amz,26,33207
trms_ca_ari_high_risk_accinvestigation_wrk_amz,21,353336
trms_ca_ari_email_dnr_emails_wrk_amz,16,79634
trms_ca_ari_email_maa_emails_wrk_amz,15,80160
trms_ca_ari_email_contra_ari_wrk_amz,13,86662
trms_ca_ari_email_ari_rcr_wrk_amz,9,73400
trms_ca_ari_buyer_claims_abuse_wrk_amz,6,19987
trms_ca_ari_nsr_concessions_abuse_2_wrk_amz,4,9299
trms_ca_ari_email_dsappeal_wrk_amz,3,415899
trms_ca_ari_afnhighriskrefundapproval_wrk_amz,1,8150
trms_ca_ari_email_arm_appeals_wrk_amz,1,20886
trms_ca_ari_email_mfn_emails_wrk_amz,1,36915
trms_ca_ari_trustedsellerreferral_wrk_amz,1,126018
trms_mx_ari_concessionsabusecapdnrreferrals_wrk_amz,44,61163
trms_mx_ari_ari_email_ofm_sg_wrk_amz,41,71762
trms_mx_ari_acclinkageinvestigation_wrk_amz,26,36047
trms_mx_ari_afnrefundapproval_wrk_amz,16,27153
trms_mx_ari_ari_buyerclaimsabuse_wrk_amz,14,54939
trms_mx_ari_nsr_concessions_abuse_wrk_amz,12,59400
trms_mx_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,12,44862
trms_mx_ari_high_risk_accinvestigation_wrk_amz,8,322699
trms_mx_ari_dnr_concessions_abuse_wrk_amz,5,162069
trms_mx_ari_email_ari_rcr_wrk_amz,4,59498
trms_mx_ari_email_dnr_emails_wrk_amz,4,54358
trms_mx_ari_sellerinitiatedrefund_wrk_amz,4,27818
trms_mx_ari_email_dsappeal_wrk_amz,3,415895
trms_mx_ari_email_maa_emails_wrk_amz,3,24024
trms_mx_email_ari_lastword_wrk_amz,2,54485
trms_mx_ari_afn_holistic_refund_approval_wrk_amz,1,26830
trms_mx_ari_barsconcessionabuse_wrk_amz,1,47580
trms_mx_ari_in_transit_wrk_amz,1,59370
trms_mx_ari_psi_transfer_acc_level_wrk_amz,1,91474
trms_mx_ari_psi_transfer_concession_level_wrk_amz,1,1411
trms_br_ari_dnr_concessions_abuse_wrk_amz,129,176074
trms_br_ari_email_ofm_wrk_amz,40,81792
trms_br_ari_acclinkageinvestigation_wrk_amz,28,36720
trms_br_ari_afnrefundapproval_wrk_amz,17,28131
trms_br_ari_email_suspect_abuse_wrk_amz,14,59903
trms_br_ari_email_ari_rcr_wrk_amz,13,74638
trms_br_ari_email_maa_emails_wrk_amz,11,75432
trms_br_ari_email_dnr_emails_wrk_amz,10,70507
trms_br_ari_buyer_claims_abuse_wrk_amz,9,60116
trms_br_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,6,40015
trms_br_ari_email_ari_esc_wrk_amz,5,226927
trms_br_ari_high_risk_accinvestigation_wrk_amz,2,280776
trms_br_ari_concessionsabusepfocpersona_wrk_amz,1,1242454
trms_br_ari_email_buyer_returns_wrk_amz,1,64032
trms_br_ari_email_mfn_emails_wrk_amz,1,39011
trms_br_ari_psi_transfer_concession_level_wrk_amz,1,361810
trms_br_ari_sellerinitiatedrefund_wrk_amz,1,20063
trms_au_ari_afnrefundapproval_wrk_amz,59,26312
trms_au_ari_dnr_concessions_abuse_wrk_amz,37,97487
trms_au_ari_email_suspect_abuse_wrk_amz,35,107412
trms_au_ari_acclinkageinvestigation_wrk_amz,32,105772
trms_au_ari_afnhighriskrefundapproval_wrk_amz,30,25818
trms_au_ari_drop_ship_abuse_referrals_wrk_amz,25,117855
