"Queue","Count","Age"
trms_us_ari_concessionsabusecapdnrreferrals_wrk_amz,14156,238663
trms_us_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,2556,238632
trms_us_ari_f3concessionsabuse_wrk_amz,2239,932410
trms_us_ari_mfnegregious_wrk_amz,1470,1617900
trms_us_ari_email_ari_ecresc_wrk_amz,1441,1531530
trms_us_ari_concessionaccinvestigation_wrk_amz,1199,314395
trms_us_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,1183,96518
trms_us_ari_dnr_concessions_abuse_wrk_amz,793,325676
trms_us_ari_acclinkageinvestigation_wrk_amz,668,387336
trms_us_ari_psi_transfer_acc_level_wrk_amz,540,399814
trms_us_ari_sellerinitiatedrefund_wrk_amz,447,42207
trms_us_ari_email_ofm_wrk_amz,412,79217
trms_us_ari_abdrop_ship_abuse_referrals_wrk_amz,344,227873
trms_us_ari_email_contra_ari_wrk_amz,342,79534
trms_us_ari_trustedsellerreferral_wrk_amz,315,251195
trms_us_ari_cap_high_risk_wrk_amz,288,235133
trms_us_ari_concessionsabuseflrrferrals_highrisk_intransit_wrk_amz,188,698194
trms_us_ari_ari_b2bconcessions_abusecapdnrreferrals_wrk_amz,128,61380
trms_us_ari_email_arm_appeals_wrk_amz,115,42469
trms_us_ari_email_maa_emails_wrk_amz,109,45083
trms_us_ari_email_dnr_emails_wrk_amz,107,79391
trms_us_ari_abuse_service_chargebacks_wrk_amz,105,242031
trms_us_ari_drop_ship_abuse_referrals_wrk_amz,98,227873
trms_us_ari_email_mfn_emails_wrk_amz,55,79027
trms_us_ari_mdr_acc_investigation_high_risk_wrk_amz,51,389337
trms_us_ari_email_ari_rcr_wrk_amz,50,44210
trms_us_ari_email_buyer_returns_wrk_amz,49,79195
trms_us_ari_afnbearsrefundapproval_wrk_amz,37,34472
trms_us_ari_email_rqla_wrk_amz,37,6305203
trms_us_ari_email_nsr_appeal_wrk_amz,32,5737939
trms_us_ari_email_mfn_retrocharge_wrk_amz,24,248348
trms_us_ari_psi_transfer_concession_level_wrk_amz,21,13838
trms_us_ari_email_ari_crt_wrk_amz,16,40489
trms_us_ari_pfw_high_risk_wrk_amz,16,18538
trms_us_ari_ff_concessions_abuserefundapproval_wrk_amz,15,41173
trms_us_ari_psi_transfer_riskyorder_wrk_amz,7,6030
trms_us_ari_email_neat_wrk_amz,5,79453
trms_us_ari_in_transit_wrk_amz,4,785
trms_us_ari_concessions_abuse_cs_referrals_wrk_amz,3,236001
trms_us_ari_email_qla_wrk_amz,3,38905
trms_us_email_ari_lastword_wrk_amz,3,67248
trms_us_ari_email_dsappeal_wrk_amz,2,2270
trms_us_ari_afn_flr_refund_approval_wrk_amz,1,26.6
trms_us_ari_bearsconcessions_abuseriskyorders_wrk_amz,1,133
trms_us_ari_email_pna_appeals_wrk_amz,1,99.8
trms_ca_ari_concessions_abuse_cap_dnr_referrals_wrk_amz,1026,238416
trms_ca_ari_buyer_claims_abuse_wrk_amz,522,283490
trms_ca_ari_barsconcessionabuse_wrk_amz,200,395635
trms_ca_ari_dnr_concessions_abuse_wrk_amz,173,326012
trms_ca_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,147,237288
trms_ca_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,136,96399
trms_ca_ari_mfnegregious_wrk_amz,121,1517683
trms_ca_ari_email_ofm_wrk_amz,68,76792
trms_ca_ari_acclinkageinvestigation_wrk_amz,63,387380
trms_ca_ari_psi_transfer_acc_level_wrk_amz,60,363305
trms_ca_ari_b2b_concessionsabuse_wrk_amz,55,5067735
trms_ca_ari_cap_high_risk_wrk_amz,48,234451
trms_ca_ari_nsr_concessions_abuse_2_wrk_amz,40,43482
trms_ca_ari_sellerinitiatedrefund_wrk_amz,33,41448
trms_ca_ari_high_risk_accinvestigation_wrk_amz,20,338149
trms_ca_ari_email_ari_esc_wrk_amz,15,1516561
trms_ca_ari_trustedsellerreferral_wrk_amz,15,93372
trms_ca_ari_email_dnr_emails_wrk_amz,12,69123
trms_ca_ari_email_maa_emails_wrk_amz,12,37519
trms_ca_ari_email_contra_ari_wrk_amz,9,70497
trms_ca_ari_email_dsappeal_wrk_amz,8,6227058
trms_ca_ari_email_arm_appeals_wrk_amz,5,28884
trms_ca_ari_email_mfn_emails_wrk_amz,5,58152
trms_ca_ari_ari_b2bconcessions_abusecapdnrreferrals_wrk_amz,4,33123
trms_ca_ari_afnhighriskrefundapproval_wrk_amz,2,37268
trms_ca_ari_email_qla_wrk_amz,2,19423
trms_ca_ari_email_ari_rcr_wrk_amz,1,41164
trms_ca_ari_email_nsr_appeal_wrk_amz,1,1085520
trms_ca_ari_in_transit_wrk_amz,1,744
trms_ca_ari_psi_transfer_concession_level_wrk_amz,1,17.1
trms_mx_ari_concessionsabusecapdnrreferrals_wrk_amz,487,219019
trms_mx_ari_ari_buyerclaimsabuse_wrk_amz,140,385293
trms_mx_ari_nsr_concessions_abuse_wrk_amz,72,317904
trms_mx_ari_acclinkageinvestigation_wrk_amz,66,387352
trms_mx_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,61,85130
trms_mx_ari_ari_email_ofm_sg_wrk_amz,41,78174
trms_mx_ari_in_transit_wrk_amz,38,261497
trms_mx_ari_mfnegregious_wrk_amz,33,509854
trms_mx_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,29,217800
