Queue,cluster,Type,MP
trms_ae_ari_acclinkageinvestigation_wrk_amz,ncl,acct,ae
trms_ae_ari_afn_account_investigation_wrk_amz,ncl,acct,ae
trms_ae_ari_afn_highvalue_refundapproval_wrk_amz,ncl,ri,ae
trms_ae_ari_afn_holistic_refund_approval_wrk_amz,ncl,ri,ae
trms_ae_ari_afnbearsrefundapproval_wrk_amz,ncl,ri,ae
trms_ae_ari_afnflrrefundapproval_wrk_amz,ncl,test,ae
trms_ae_ari_afnhighriskrefundapproval_wrk_amz,ncl,hrqri,ae
trms_ae_ari_afnrefundapproval_wrk_amz,ncl,ri,ae
trms_ae_ari_afnrrefundapproval_wrk_amz,ncl,test,ae
trms_ae_ari_armholisticrefundapproval_wrk_amz,ncl,armri,ae
trms_ae_ari_barsconcessionabuse_wrk_amz,ncl,acct,ae
trms_ae_ari_bca_wrk_amz,ncl,acct,ae
trms_ae_ari_bearsconcessionabuse_wrk_amz,ncl,acct,ae
trms_ae_ari_bearsconcessions_abuseriskyorders_wrk_amz,ncl,sgd,ae
trms_ae_ari_buyer_cancels_risky_orders,ncl,sgd,ae
trms_ae_ari_buyer_claims_abuse_wrk_amz,ncl,acct,ae
trms_ae_ari_concessionaccinvestigation_wrk_amz,ncl,acct,ae
trms_ae_ari_concessionorderinvestigation_wrk_amz,ncl,acct,ae
trms_ae_ari_concessions_abuse_cs_referrals_wrk_amz,ncl,acct,ae
trms_ae_ari_concessions_abuse_flr_risky_orders_wrk_amz,ncl,sgd,ae
trms_ae_ari_concessions_abuse_risky_mfn_orders_wrk_amz,ncl,sgd,ae
trms_ae_ari_concessions_abuse_risky_orders_wrk_amz,ncl,sgd,ae
trms_ae_ari_concessions_abusecapflrreferrals_wrk_amz,ncl,conc,ae
trms_ae_ari_concessions_abusecapmdrreferrals_wrk_amz,ncl,conc,ae
trms_ae_ari_concessions_abusecaprrreferrals_wrk_amz,ncl,conc,ae
trms_ae_ari_concessions_abusefailedreturnsriskyorder_wrk_amz,ncl,sgd,ae
trms_ae_ari_concessionsabuse_flrreferrals_wrk_amz,ncl,acct,ae
trms_ae_ari_concessionsabusecapdnrreferrals_wrk_amz,ncl,conc,ae
trms_ae_ari_concessionsabusepfocpersona_wrk_amz,ncl,test,ae
trms_ae_ari_concessionsabusepfocriskyorders_wrk_amz,ncl,sgd,ae
trms_ae_ari_concessionsabuserr_wrk_amz,ncl,acct,ae
trms_ae_ari_dnr_concessions_abuse_wrk_amz,ncl,acct,ae
trms_ae_ari_drop_ship_abuse_referrals_wrk_amz,ncl,acct,ae
trms_ae_ari_email_ae_email_spam_wrk_amz,ncl,emails,ae
trms_ae_ari_email_ari_esc_wrk_amz,ncl,esc,ae
trms_ae_ari_email_ari_rcr_wrk_amz,ncl,rcr,ae
trms_ae_ari_email_arm_appeals_wrk_amz,ncl,armeq,ae
trms_ae_ari_email_bca_wrk_amz,ncl,emails,ae
trms_ae_ari_email_buyer_claims_wrk_amz,ncl,emails,ae
trms_ae_ari_email_buyer_refund_intercept_wrk_amz,ncl,emails,ae
trms_ae_ari_email_buyer_returns_wrk_amz,ncl,emails,ae
trms_ae_ari_email_contra_ari_wrk_amz,ncl,emails,ae
trms_ae_ari_email_dnr_emails_wrk_amz,ncl,emails,ae
trms_ae_ari_email_dsappeal_wrk_amz,ncl,test,ae
trms_ae_ari_email_gc_refund_wrk_amz,ncl,emails,ae
trms_ae_ari_email_maa_emails_wrk_amz,ncl,maa,ae
trms_ae_ari_email_mfn_emails_wrk_amz,ncl,emails,ae
trms_ae_ari_email_neat_wrk_amz,ncl,emails,ae
trms_ae_ari_email_nsr_appeals_wrk_amz,ncl,emails,ae
trms_ae_ari_email_ofm_wrk_amz,ncl,emails,ae
trms_ae_ari_email_pna_appeals_wrk_amz,ncl,test,ae
trms_ae_ari_email_qla_wrk_amz,ncl,ltaeq,ae
trms_ae_ari_email_rci_wrk_amz,ncl,emails,ae
trms_ae_ari_email_rcw_wrk_amz,ncl,emails,ae
trms_ae_ari_email_rqla_wrk_amz,ncl,test,ae
trms_ae_ari_email_suspect_abuse_wrk_amz,ncl,acct,ae
trms_ae_ari_f3concessionsabuse_wrk_amz,ncl,test,ae
trms_ae_ari_high_risk_accinvestigation_wrk_amz,ncl,hrqacct,ae
trms_ae_ari_highvalueconcessionsabuseriskyorders_wrk_amz,ncl,test,ae
trms_ae_ari_in_transit_wrk_amz,ncl,acct,ae
trms_ae_ari_linkagerefundapproval_wrk_amz,ncl,test,ae
trms_ae_ari_mdr_acc_investigation_bau_wrk_amz,ncl,test,ae
trms_ae_ari_mdr_acc_investigation_mlm_wrk_amz,ncl,test,ae
trms_ae_ari_mdr_cg_wrk_amz,ncl,test,ae
trms_ae_ari_mfn_account_investigation_wrk_amz,ncl,acct,ae
trms_ae_ari_mfnegregious_wrk_amz,ncl,test,ae
trms_ae_ari_nsr_concessions_abuse_wrk_amz,ncl,acct,ae
trms_ae_ari_nsraccinvestigation_wrk_amz,ncl,test,ae
trms_ae_ari_nsrsou_wrk_amz,ncl,acct,ae
trms_ae_ari_pdarefundapproval_wrk_amz,ncl,test,ae
trms_ae_ari_pfw_highrisk_wrk_amz,ncl,hrqsgd,ae
trms_ae_ari_pfw_holdout_accinvestigation_wrk_amz,ncl,sgd,ae
trms_ae_ari_psi_transfer_acc_level_wrk_amz,ncl,test,ae
trms_ae_ari_psi_transfer_concession_level_wrk_amz,ncl,test,ae
trms_ae_ari_psi_transfer_riskyorder_wrk_amz,ncl,test,ae
trms_ae_ari_qlaresellerabuse_wrk_amz,ncl,test,ae
trms_ae_ari_qlaresellerlabuse_wrk_amz,ncl,acct,ae
trms_ae_ari_qtylimit_wrk_amz,ncl,sgd,ae
trms_ae_ari_retrocharge_wrk_amz,ncl,test,ae
trms_ae_ari_sellerinitiatedrefund_wrk_amz,ncl,ri,ae
trms_ae_ari_spi_threatabuse_wrk_amz,ncl,test,ae
trms_ae_ari_trustedsellerreferral_wrk_amz,ncl,acct,ae
trms_ae_email_ari_lastword_wrk_amz,ncl,emails,ae
trms_ae_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,ncl,atoz,ae
trms_ae_pi_ari_trms_pi_buyer_abuse_referral_wrk_amz,ncl,test,ae
trms_au_ari_acclinkageinvestigation_wrk_amz,fe,acct,au
trms_au_ari_afn_account_investigation_wrk_amz,fe,acct,au
trms_au_ari_afn_highvalue_refundapproval_wrk_amz,fe,ri,au
trms_au_ari_afn_holistic_refund_approval_wrk_amz,fe,ri,au
trms_au_ari_afnbearsrefundapproval_wrk_amz,fe,ri,au
trms_au_ari_afnflrrefundapproval_wrk_amz,fe,test,au
trms_au_ari_afnhighriskrefundapproval_wrk_amz,fe,hrqri,au
trms_au_ari_afnrefundapproval_graf_wrk_amz,fe,ri,au
trms_au_ari_afnrefundapproval_wrk_amz,fe,ri,au
trms_au_ari_afnrrefundapproval_wrk_amz,fe,test,au
trms_au_ari_armholisticrefundapproval_wrk_amz,fe,armri,au
trms_au_ari_barsconcessionabuse_wrk_amz,fe,acct,au
trms_au_ari_bearsconcessionabuse_wrk_amz,fe,acct,au
trms_au_ari_bearsconcessions_abuseriskyorders_wrk_amz,fe,sgd,au
trms_au_ari_buyer_claims_abuse_wrk_amz,fe,acct,au
trms_au_ari_concessionaccinvestigation_wrk_amz,fe,acct,au
trms_au_ari_concessionorderinvestigation_wrk_amz,fe,acct,au
trms_au_ari_concessions_abuse_cs_referrals_wrk_amz,fe,acct,au
trms_au_ari_concessions_abuse_flr_risky_orders_wrk_amz,fe,sgd,au
trms_au_ari_concessions_abuse_risky_mfn_orders_wrk_amz,fe,sgd,au
trms_au_ari_concessions_abuse_risky_orders_wrk_amz,fe,sgd,au
trms_au_ari_concessions_abusecapflrreferrals_wrk_amz,fe,conc,au
trms_au_ari_concessions_abusecaprrreferrals_wrk_amz,fe,conc,au
trms_au_ari_concessions_abusefailedreturnsriskyorder_wrk_amz,fe,sgd,au
trms_au_ari_concessions_abuseriskyorders_graf_wrk_amz,fe,sgd,au
trms_au_ari_concessionsabuse_flrreferrals_wrk_amz,fe,acct,au
trms_au_ari_concessionsabusecapdnrreferrals_wrk_amz,fe,conc,au
trms_au_ari_concessionsabusecapmdrreferrals_wrk_amz,fe,conc,au
trms_au_ari_concessionsabuserr_wrk_amz,fe,acct,au
trms_au_ari_dnr_concessions_abuse_wrk_amz,fe,acct,au
trms_au_ari_drop_ship_abuse_referrals_wrk_amz,fe,acct,au
trms_au_ari_email_ari_esc_wrk_amz,fe,esc,au
trms_au_ari_email_ari_rcr_wrk_amz,fe,rcr,au
trms_au_ari_email_arm_appeals_wrk_amz,fe,armeq,au
trms_au_ari_email_au_email_spam_wrk_amz,fe,emails,au
trms_au_ari_email_buyer_claims_wrk_amz,fe,emails,au
trms_au_ari_email_buyer_refund_intercept_wrk_amz,fe,emails,au
trms_au_ari_email_buyer_returns_wrk_amz,fe,emails,au
trms_au_ari_email_contra_ari_wrk_amz,fe,emails,au
trms_au_ari_email_dnr_emails_wrk_amz,fe,emails,au
trms_au_ari_email_dsappeal_wrk_amz,fe,ltaeq,au
trms_au_ari_email_maa_emails_wrk_amz,fe,maa,au
trms_au_ari_email_mfn_emails_wrk_amz,fe,emails,au
trms_au_ari_email_neat_wrk_amz,fe,emails,au
trms_au_ari_email_nsr_appeals_wrk_amz,fe,emails,au
trms_au_ari_email_ofm_wrk_amz,fe,emails,au
trms_au_ari_email_pna_appeals_wrk_amz,fe,test,au
trms_au_ari_email_qla_wrk_amz,fe,ltaeq,au
trms_au_ari_email_rci_wrk_amz,fe,emails,au
trms_au_ari_email_suspect_abuse_wrk_amz,fe,acct,au
trms_au_ari_f3concessionsabuse_wrk_amz,fe,test,au
trms_au_ari_high_risk_accinvestigation_wrk_amz,fe,hrqacct,au
trms_au_ari_highvalueconcessionsabuseriskyorders_wrk_amz,fe,sgd,au
trms_au_ari_in_transit_wrk_amz,fe,acct,au
trms_au_ari_linkagerefundapproval_wrk_amz,fe,ri,au
trms_au_ari_mdr_acc_investigation_bau_wrk_amz,fe,acct,au
trms_au_ari_mdr_acc_investigation_mlm_wrk_amz,fe,acct,au
trms_au_ari_mdr_cg_wrk_amz,fe,test,au
trms_au_ari_mfn_account_investigation_wrk_amz,fe,acct,au
trms_au_ari_mfnegregious_wrk_amz,fe,test,au
trms_au_ari_nsr_concessions_abuse_wrk_amz,fe,acct,au
trms_au_ari_nsraccinvestigation_wrk_amz,fe,acct,au
trms_au_ari_nsrsou_wrk_amz,fe,acct,au
trms_au_ari_pfw_highrisk_wrk_amz,fe,hrqsgd,au
trms_au_ari_pfw_holdout_accinvestigation_wrk_amz,fe,ri,au
trms_au_ari_pfw_holdout_holistic_wrk_amz,fe,ri,au
trms_au_ari_psi_transfer_acc_level_wrk_amz,fe,acct,au
trms_au_ari_psi_transfer_concession_level_wrk_amz,fe,test,au
trms_au_ari_psi_transfer_riskyorder_wrk_amz,fe,test,au
trms_au_ari_qtylimit_wrk_amz,fe,sgd,au
trms_au_ari_retrocharge_wrk_amz,fe,acct,au
trms_au_ari_rm_concessions_abuse_wrk_amz,fe,acct,au
trms_au_ari_sellerinitiatedrefund_wrk_amz,fe,ri,au
trms_au_ari_spi_threatabuse_wrk_amz,fe,acct,au
trms_au_ari_task_projectvigilance_wrk_amz,fe,test,au
trms_au_ari_trustedsellerreferral_wrk_amz,fe,acct,au
trms_au_email_ari_lastword_wrk_amz,fe,emails,au
trms_au_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,fe,atoz,au
trms_au_pi_ari_trms_pi_buyer_abuse_referral_wrk_amz,fe,test,au
trms_be_ari_abuse_qtylimit_queue_wrk_amz,ncl,sgd,be
trms_be_ari_accountlinkageinvestigation_wrk_amz,ncl,acct,be
trms_be_ari_afn_highvalue_refundapproval_wrk_amz,ncl,ri,be
trms_be_ari_afnbearsrefundapproval_wrk_amz,ncl,ri,be
trms_be_ari_afnhighriskrefundapproval_wrk_amz,ncl,hrqri,be
trms_be_ari_afnholisticrefundapproval_wrk_amz,ncl,ri,be
trms_be_ari_afnrefundapproval_wrk_amz,ncl,ri,be
trms_be_ari_bearsconcessionabuse_wrk_amz,ncl,acct,be
trms_be_ari_bearsconcessions_abuseriskyorders_wrk_amz,ncl,sgd,be
trms_be_ari_buyercancelsriskyorders_wrk_amz,ncl,sgd,be
trms_be_ari_buyerclaimsabuse_wrk_amz,ncl,acct,be
trms_be_ari_concessions_abusecapdnrreferrals_wrk_amz,ncl,conc,be
trms_be_ari_concessions_abusecapflrreferrals_wrk_amz,ncl,conc,be
trms_be_ari_concessions_abusecapmdrreferrals_wrk_amz,ncl,conc,be
trms_be_ari_concessions_abusecaprrreferrals_wrk_amz,ncl,conc,be
trms_be_ari_concessions_abusecsreferrals_wrk_amz,ncl,acct,be
trms_be_ari_concessions_abusefailedreturnsriskyorder_wrk_amz,ncl,sgd,be
trms_be_ari_concessions_abuseflrreferrals_wrk_amz,ncl,acct,be
trms_be_ari_concessions_abusepfocpersona_wrk_amz,ncl,acct,be
trms_be_ari_concessions_abusepfocriskyorders_wrk_amz,ncl,sgd,be
trms_be_ari_concessions_abuseriskymfnorders_wrk_amz,ncl,sgd,be
trms_be_ari_concessions_abuseriskyorders_wrk_amz,ncl,sgd,be
trms_be_ari_concessions_abuserr_wrk_amz,ncl,acct,be
trms_be_ari_dnrconcessions_abuse_wrk_amz,ncl,acct,be
trms_be_ari_email_ari_email_spam_wrk_amz,ncl,emails,be
trms_be_ari_email_ari_esc_wrk_amz,ncl,esc,be
trms_be_ari_email_ari_rcr_wrk_amz,ncl,rcr,be
trms_be_ari_email_arm_appeals_wrk_amz,ncl,armeq,be
trms_be_ari_email_bca_wrk_amz,ncl,emails,be
trms_be_ari_email_buyer_returns_wrk_amz,ncl,emails,be
trms_be_ari_email_contra_ari_wrk_amz,ncl,emails,be
trms_be_ari_email_dnr_emails_wrk_amz,ncl,emails,be
trms_be_ari_email_lastword_wrk_amz,ncl,emails,be
trms_be_ari_email_maa_emails_wrk_amz,ncl,maa,be
trms_be_ari_email_mfn_emails_wrk_amz,ncl,emails,be
trms_be_ari_email_neat_wrk_amz,ncl,emails,be
trms_be_ari_email_ofm_wrk_amz,ncl,emails,be
trms_be_ari_email_qla_wrk_amz,ncl,ltaeq,be
trms_be_ari_email_rqla_wrk_amz,ncl,test,be
trms_be_ari_email_suspect_abuse_wrk_amz,ncl,acct,be
trms_be_ari_high_risk_accinvestigation_wrk_amz,ncl,hrqacct,be
trms_be_ari_in_transit_wrk_amz,ncl,acct,be
trms_be_ari_mdr_cg_wrk_amz,ncl,test,be
trms_be_ari_mfn_egregious_wrk_amz,ncl,test,be
trms_be_ari_nsrconcessions_abuse_wrk_amz,ncl,acct,be
trms_be_ari_pdarefundapproval_wrk_amz,ncl,ri,be
trms_be_ari_pfw_highrisk_wrk_amz,ncl,hrqsgd,be
trms_be_ari_pfw_holdout_accinvestigation_wrk_amz,ncl,sgd,be
trms_be_ari_psi_transfer_account_level_wrk_amz,ncl,acct,be
trms_be_ari_psi_transfer_concession_level_wrk_amz,ncl,test,be
trms_be_ari_psi_transfer_riskyorder_wrk_amz,ncl,test,be
trms_be_ari_reseller_investigations_wrk_amz,ncl,acct,be
trms_be_ari_sellerinitiatedrefund_wrk_amz,ncl,ri,be
trms_be_ari_spi_threatabuse_wrk_amz,ncl,acct,be
trms_be_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,ncl,atoz,be
trms_br_ari_acclinkageinvestigation_wrk_amz,ncl,acct,br
trms_br_ari_afn_account_investigation_wrk_amz,ncl,acct,br
trms_br_ari_afn_highvalue_refundapproval_wrk_amz,ncl,ri,br
trms_br_ari_afn_holistic_refund_approval_wrk_amz,ncl,ri,br
trms_br_ari_afnbearsrefundapproval_wrk_amz,ncl,ri,br
trms_br_ari_afnflrrefundapproval_wrk_amz,ncl,test,br
trms_br_ari_afnhighriskrefundapproval_wrk_amz,ncl,hrqri,br
trms_br_ari_afnrefundapproval_wrk_amz,ncl,ri,br
trms_br_ari_afnrrefundapproval_wrk_amz,ncl,test,br
trms_br_ari_armholisticrefundapproval_wrk_amz,ncl,armri,br
trms_br_ari_barsconcessionabuse_wrk_amz,ncl,acct,br
